epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,681.168,1.84842,2.19019,1.86596,0.51649,0.34993,0.35659,0.15655,1.66522,10.8382,1.70138,0.000333213,0.000333213,0.0670119
2,1343.76,1.77918,2.01129,1.83247,0.62312,0.51808,0.55499,0.26951,1.33255,7.92598,1.39171,0.000666474,0.000666474,0.0340119
3,1995.48,1.72002,1.86085,1.76959,0.60536,0.55829,0.60016,0.30464,1.23532,2.43998,1.29932,0.000999445,0.000999445,0.00101151
4,2644.04,1.65165,1.71061,1.71201,0.75824,0.62234,0.71131,0.37747,1.22618,2.50657,1.26536,0.000999023,0.000999023,0.000999023
5,3294.29,1.6175,1.6215,1.69078,0.78119,0.64574,0.72971,0.40349,1.17738,1.78779,1.23625,0.000998264,0.000998264,0.000998264
6,3944.67,1.57044,1.51446,1.65081,0.77369,0.65843,0.75856,0.42588,1.14007,2.10817,1.21323,0.000997288,0.000997288,0.000997288
7,4594.78,1.54779,1.4535,1.63026,0.77459,0.68607,0.76638,0.43039,1.14195,1.19187,1.21237,0.000996097,0.000996097,0.000996097
8,5246.06,1.52312,1.40789,1.60538,0.79267,0.7078,0.78617,0.44525,1.14418,1.29127,1.20108,0.00099469,0.00099469,0.00099469
9,5896.83,1.49656,1.36598,1.58737,0.80342,0.7021,0.79292,0.46118,1.10087,1.26597,1.19179,0.000993068,0.000993068,0.000993068
10,6547.56,1.47709,1.32003,1.57492,0.79353,0.71691,0.79604,0.47671,1.08117,1.0801,1.18021,0.000991232,0.000991232,0.000991232
11,7197.21,1.46464,1.28553,1.56182,0.82265,0.7402,0.81848,0.48795,1.06131,0.88088,1.15866,0.000989183,0.000989183,0.000989183
12,7848.53,1.43901,1.24079,1.54388,0.82167,0.73242,0.82686,0.49536,1.06996,1.08887,1.15818,0.000986922,0.000986922,0.000986922
13,28672.4,1.43281,1.22051,1.54019,0.83191,0.75058,0.83096,0.49874,1.05038,0.85615,1.14716,0.000984449,0.000984449,0.000984449
14,29495.9,1.40679,1.18139,1.51812,0.81453,0.78832,0.8475,0.50882,1.02783,0.90228,1.12647,0.000981765,0.000981765,0.000981765
15,30332.2,1.38742,1.1555,1.50319,0.81792,0.77261,0.83406,0.50184,1.03616,0.89014,1.13153,0.000978873,0.000978873,0.000978873
16,31000.4,1.36869,1.12268,1.4919,0.83794,0.77814,0.84026,0.5136,1.02778,0.89953,1.13283,0.000975773,0.000975773,0.000975773
17,31587.7,1.35966,1.10264,1.48442,0.87257,0.78163,0.85742,0.53035,1.01265,0.72962,1.11802,0.000972466,0.000972466,0.000972466
18,32178.4,1.33622,1.07446,1.46649,0.85429,0.78015,0.85857,0.52794,1.01558,0.84796,1.12178,0.000968955,0.000968955,0.000968955
19,643.103,1.31814,1.04021,1.45355,0.85091,0.79695,0.86151,0.53626,1.01246,0.79508,1.12641,0.000965239,0.000965239,0.000965239
20,1285.22,1.31294,1.03674,1.45637,0.86273,0.77108,0.84695,0.52601,1.00663,0.75258,1.12583,0.000961322,0.000961322,0.000961322
21,1931.47,1.30506,1.01458,1.44531,0.852,0.79266,0.86234,0.54066,0.99512,0.73226,1.10936,0.000957205,0.000957205,0.000957205
22,2577.9,1.28884,0.99401,1.43858,0.86953,0.78268,0.86323,0.5398,0.98894,0.75375,1.1151,0.000952889,0.000952889,0.000952889
23,3223.99,1.27124,0.96609,1.41761,0.87185,0.7831,0.86114,0.54214,0.99176,0.7478,1.11612,0.000948377,0.000948377,0.000948377
24,3869.2,1.25051,0.94608,1.40822,0.85974,0.80117,0.86142,0.54603,0.99273,0.7414,1.12025,0.000943671,0.000943671,0.000943671
25,4515.15,1.23407,0.92307,1.39703,0.87948,0.79753,0.87274,0.55137,0.97942,0.64118,1.11011,0.000938772,0.000938772,0.000938772
26,5163.25,1.21927,0.91692,1.3854,0.86903,0.8106,0.86935,0.55231,0.97434,0.68579,1.11144,0.000933683,0.000933683,0.000933683
27,5810.05,1.20249,0.8913,1.36757,0.85779,0.80172,0.86882,0.55585,0.97035,0.68111,1.10482,0.000928405,0.000928405,0.000928405
28,6456.85,1.19675,0.88143,1.36291,0.86907,0.80294,0.87106,0.56361,0.96416,0.65617,1.09823,0.000922942,0.000922942,0.000922942
29,7105.35,1.17843,0.85632,1.3507,0.86451,0.82517,0.87224,0.55785,0.96946,0.66063,1.1087,0.000917296,0.000917296,0.000917296
30,8113.09,1.16891,0.8438,1.34471,0.84516,0.82709,0.87514,0.56406,0.96912,0.64467,1.11144,0.000911469,0.000911469,0.000911469
31,589.908,1.13827,0.80823,1.32359,0.88339,0.80165,0.87456,0.56366,0.96189,0.66283,1.11043,0.000905463,0.000905463,0.000905463
32,1180.41,1.13798,0.81667,1.3307,0.88476,0.79791,0.8718,0.56575,0.96316,0.66207,1.11145,0.000899282,0.000899282,0.000899282
33,1829.72,1.13598,0.80659,1.32328,0.87627,0.79768,0.86964,0.55975,0.96673,0.65738,1.11372,0.000892928,0.000892928,0.000892928
34,2630.2,1.11878,0.79808,1.31282,0.86935,0.80658,0.87221,0.56279,0.95767,0.66748,1.10847,0.000886404,0.000886404,0.000886404
35,3230.32,1.10897,0.77741,1.30397,0.86777,0.81952,0.87344,0.56417,0.9561,0.67672,1.11161,0.000879713,0.000879713,0.000879713
36,3823.07,1.08848,0.76009,1.29377,0.87486,0.80795,0.87127,0.56247,0.9623,0.67464,1.12147,0.000872857,0.000872857,0.000872857
37,4411.37,1.08189,0.75165,1.28455,0.87165,0.80435,0.8691,0.56145,0.96304,0.65587,1.12366,0.000865839,0.000865839,0.000865839
38,5001.93,1.07319,0.74204,1.28181,0.8623,0.81974,0.86974,0.56166,0.96347,0.64821,1.12577,0.000858664,0.000858664,0.000858664
39,5589.86,1.05349,0.72752,1.26628,0.86418,0.8089,0.86631,0.56111,0.96008,0.64369,1.12464,0.000851333,0.000851333,0.000851333
40,6180.17,1.045,0.71446,1.25951,0.85353,0.82905,0.86906,0.56147,0.95971,0.63842,1.12569,0.000843851,0.000843851,0.000843851
41,6767.48,1.04446,0.71138,1.25288,0.86552,0.81859,0.86906,0.561,0.95847,0.63232,1.12469,0.00083622,0.00083622,0.00083622
42,7357.64,1.0498,0.71316,1.25911,0.86432,0.82128,0.86826,0.56147,0.95875,0.6355,1.12484,0.000828443,0.000828443,0.000828443
43,7945.74,1.05903,0.72333,1.26505,0.87447,0.81617,0.8698,0.56073,0.95775,0.63678,1.12245,0.000820525,0.000820525,0.000820525
44,8536.63,1.04368,0.71252,1.25306,0.86935,0.82027,0.86857,0.56183,0.95828,0.63515,1.12308,0.000812468,0.000812468,0.000812468
45,9125.42,1.03129,0.69562,1.24407,0.86964,0.82148,0.86972,0.56196,0.95909,0.63514,1.12415,0.000804277,0.000804277,0.000804277
46,9713.98,1.01624,0.68764,1.23456,0.87423,0.81595,0.86887,0.56256,0.9585,0.63736,1.12376,0.000795954,0.000795954,0.000795954
47,10304.8,1.01296,0.68439,1.23474,0.87834,0.81389,0.8688,0.56295,0.95832,0.63241,1.12464,0.000787503,0.000787503,0.000787503
48,10893.3,1.00193,0.67083,1.22561,0.87756,0.81703,0.8704,0.56255,0.95935,0.63283,1.12555,0.000778929,0.000778929,0.000778929
