epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,964.592,1.65108,1.92452,1.66615,0.63671,0.4949,0.54585,0.27508,1.31134,1.74692,1.3146,0.00999407,0.00333136,0.00999407,0.00333136,0.00999407,0.00333136,0.00999407,0.00333136
2,1970.23,1.69239,1.79243,1.68583,0.63212,0.44657,0.49931,0.24966,1.35313,8.67396,1.36379,0.0199919,0.00666397,0.0199919,0.00666397,0.0199919,0.00666397,0.0199919,0.00666397
3,2740.91,1.78027,1.97254,1.78123,0.58306,0.46818,0.50014,0.23502,1.39215,5.53334,1.43414,0.029981,0.00999368,0.029981,0.00999368,0.029981,0.00999368,0.029981,0.00999368
4,3179.65,1.78092,1.97555,1.80516,0.59011,0.49937,0.54112,0.27245,1.29877,4.12045,1.3363,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
5,472.372,1.69551,1.77405,1.73337,0.73554,0.5514,0.65931,0.3563,1.19199,2.45545,1.28555,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
6,403.091,1.57931,1.5356,1.6463,0.7588,0.63539,0.72229,0.38041,1.20207,1.90348,1.28452,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
7,805.218,1.57578,1.51883,1.63556,0.77092,0.65164,0.7416,0.41269,1.14555,2.43224,1.21993,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
8,1221.23,1.53106,1.42959,1.60044,0.74009,0.65935,0.7384,0.41822,1.14459,1.34755,1.22106,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
9,1661.62,1.47757,1.35163,1.56799,0.77214,0.6863,0.77471,0.4407,1.10745,1.65859,1.19628,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
10,2101.66,1.45248,1.29173,1.55225,0.82366,0.69319,0.78779,0.44952,1.09916,1.50481,1.18099,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
11,2543.71,1.42665,1.23965,1.5228,0.7983,0.73581,0.79858,0.46244,1.10331,1.31295,1.19681,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
12,2982.21,1.40297,1.19671,1.50667,0.81176,0.72287,0.80003,0.47225,1.09759,1.54913,1.17849,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
13,3419.98,1.37006,1.14717,1.48497,0.80831,0.72957,0.81103,0.4786,1.10416,1.27058,1.19086,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
14,4034.81,1.3536,1.11799,1.4711,0.8045,0.73938,0.8122,0.48623,1.06916,1.29385,1.16982,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765
15,4566.85,1.3348,1.09232,1.4571,0.86743,0.74324,0.8285,0.50125,1.06153,1.02852,1.16137,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873
16,4992.05,1.31962,1.06692,1.44172,0.8557,0.75573,0.84094,0.50484,1.03204,0.9816,1.13453,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
17,5417.92,1.29855,1.02781,1.4307,0.84919,0.77553,0.84919,0.51997,1.04173,0.97582,1.15997,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466
18,402.638,1.2694,0.98711,1.40491,0.84821,0.7443,0.82225,0.50715,1.03357,0.99414,1.14592,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955
19,807.471,1.25537,0.97093,1.39774,0.86099,0.75645,0.84431,0.52467,1.02276,0.92798,1.13003,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
20,1225.76,1.23438,0.95294,1.38353,0.84319,0.75521,0.83655,0.51826,1.03806,0.86144,1.15164,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322
21,1733.28,1.2054,0.91988,1.36219,0.86112,0.77657,0.8492,0.53058,1.02089,0.76495,1.14333,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
22,459.65,1.13987,0.83676,1.31687,0.86621,0.76118,0.83919,0.52108,1.02306,0.83919,1.14429,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
23,857.2,1.12443,0.82481,1.29981,0.84494,0.79264,0.84891,0.5272,1.01797,0.81782,1.14125,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377
24,1264.67,1.10819,0.8075,1.29523,0.85267,0.78025,0.84432,0.51776,1.02494,0.85737,1.15151,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671
25,1695.17,1.08756,0.78048,1.27729,0.84284,0.79375,0.85502,0.53472,1.01616,0.72714,1.14144,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
26,2098.6,1.15,0.84143,1.31784,0.86106,0.78649,0.86416,0.54868,0.9993,0.79622,1.11201,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
27,2502.13,1.13749,0.83452,1.30296,0.84566,0.80719,0.86507,0.54799,0.9879,0.75441,1.11114,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405
28,2906.64,1.12318,0.80917,1.29491,0.87017,0.79509,0.86104,0.54847,0.99947,0.67526,1.13178,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
29,3319.51,1.10458,0.79332,1.29265,0.84491,0.80305,0.86404,0.54481,0.98959,0.72827,1.12603,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296
30,3723.07,1.09323,0.78023,1.2778,0.85454,0.78608,0.86324,0.54118,1.00047,0.70379,1.13172,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
31,4128.44,1.08406,0.77204,1.26872,0.88803,0.78564,0.86257,0.55028,0.96743,0.69873,1.11073,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
32,4532.45,1.0774,0.76057,1.26301,0.87853,0.79621,0.87268,0.55494,0.97186,0.66897,1.10662,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
33,4936.66,1.05874,0.7462,1.25452,0.87442,0.80263,0.87103,0.56311,0.96124,0.64867,1.11461,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
34,5342.13,1.06168,0.7393,1.2599,0.87678,0.80167,0.86929,0.55795,0.96454,0.66619,1.11627,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
35,5744.53,1.04881,0.72781,1.24558,0.8989,0.79218,0.87391,0.55212,0.99113,0.6668,1.13955,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
36,6150.73,1.03708,0.71993,1.23546,0.87755,0.80118,0.8653,0.55219,0.98541,0.67644,1.14195,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
37,6558.19,1.02757,0.71351,1.22854,0.8694,0.80609,0.86508,0.55429,0.98098,0.68877,1.12864,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
38,6964.85,1.01816,0.70276,1.22132,0.87239,0.79525,0.86166,0.54858,0.97183,0.72074,1.13136,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
39,7372.38,1.00757,0.70203,1.21425,0.87646,0.79883,0.86919,0.55625,0.96011,0.67029,1.12207,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
40,7776.59,0.99997,0.68106,1.20616,0.87097,0.8113,0.86205,0.55457,0.97296,0.70331,1.1323,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
41,8180.06,0.99347,0.68765,1.20528,0.86452,0.80237,0.86223,0.55351,0.97947,0.61164,1.13386,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
42,8585.49,0.97253,0.66484,1.18544,0.87538,0.80673,0.85952,0.55334,0.97554,0.67643,1.13098,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443
43,8990.82,0.9652,0.65422,1.18676,0.8698,0.80863,0.85957,0.55212,0.9677,0.65899,1.13052,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
44,9397.71,0.95024,0.65485,1.17535,0.88849,0.80736,0.8602,0.54949,0.96804,0.63611,1.13552,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
45,9802.13,0.94362,0.63837,1.17014,0.87691,0.80103,0.86186,0.55519,0.95951,0.61677,1.12911,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
46,10208.3,0.94644,0.63425,1.16591,0.8719,0.81228,0.86484,0.55761,0.96569,0.60905,1.12852,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
47,10614.4,0.93504,0.63378,1.16466,0.86826,0.81487,0.86605,0.5568,0.97432,0.6131,1.13602,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
48,11018.7,0.92396,0.61729,1.15448,0.86643,0.81507,0.86717,0.56272,0.9564,0.65808,1.12584,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
49,11424.1,0.91432,0.61764,1.15134,0.86344,0.80763,0.86649,0.55993,0.95623,0.64373,1.12909,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
50,11832.1,0.91292,0.61115,1.15154,0.89034,0.79092,0.86169,0.55377,0.96495,0.66399,1.14135,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
51,12238.3,0.89193,0.59735,1.13289,0.8705,0.81635,0.86558,0.55141,0.95734,0.66551,1.13374,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,12644.7,0.88873,0.592,1.13278,0.85206,0.82967,0.86414,0.55265,0.96092,0.68727,1.14165,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
53,13051.7,0.8731,0.58081,1.12501,0.86767,0.81478,0.86179,0.55304,0.96348,0.67443,1.15028,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332
54,13456.9,0.87362,0.57878,1.12152,0.87873,0.81123,0.86116,0.55489,0.96737,0.62409,1.15785,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094
55,13863.7,0.86283,0.57462,1.11572,0.8738,0.80328,0.86065,0.55616,0.96204,0.60521,1.15721,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
56,14266.9,0.85773,0.5661,1.11183,0.88501,0.79979,0.85943,0.55761,0.96288,0.59886,1.15772,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
57,14669.5,0.85532,0.56538,1.10756,0.86739,0.81295,0.86072,0.55908,0.95873,0.58618,1.15633,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682
58,15074.3,0.84159,0.55258,1.10038,0.86622,0.81355,0.85799,0.55537,0.95877,0.58052,1.15827,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
