epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,747.126,1.58381,1.77138,1.5972,0.68915,0.57874,0.65209,0.33889,1.25034,2.51077,1.29649,0.00333218,0.00333218,0.0700104
2,1512.21,1.56981,1.50889,1.5738,0.72652,0.59508,0.67389,0.36131,1.23965,2.17719,1.24191,0.00659953,0.00659953,0.0399444
3,2450.23,1.66376,1.6971,1.65864,0.63778,0.50259,0.55714,0.27989,1.33269,2.04934,1.34546,0.00980087,0.00980087,0.00981238
4,3151.59,1.70075,1.76336,1.70552,0.71276,0.55859,0.63597,0.33436,1.27286,2.187,1.312,0.009703,0.009703,0.009703
5,3855.19,1.59991,1.55352,1.63154,0.77243,0.65271,0.73843,0.41386,1.17119,1.87709,1.23058,0.009604,0.009604,0.009604
6,4555.88,1.53278,1.42068,1.59096,0.78702,0.65366,0.74229,0.41665,1.15983,1.8092,1.23539,0.009505,0.009505,0.009505
7,5258.12,1.48591,1.32859,1.55051,0.81759,0.7072,0.78698,0.46364,1.09704,1.45251,1.17345,0.009406,0.009406,0.009406
8,5962.45,1.44512,1.24233,1.51676,0.82042,0.73131,0.8077,0.48325,1.07074,1.29889,1.15016,0.009307,0.009307,0.009307
9,6664.6,1.40519,1.1751,1.48441,0.81325,0.72517,0.80736,0.4849,1.07279,1.18991,1.16739,0.009208,0.009208,0.009208
10,624.397,1.37047,1.12322,1.46139,0.8449,0.74571,0.82188,0.49695,1.05231,1.27322,1.13269,0.009109,0.009109,0.009109
11,1244.52,1.3488,1.09166,1.44837,0.84423,0.75208,0.82814,0.51243,1.02852,1.25042,1.1178,0.00901,0.00901,0.00901
12,1865.17,1.3197,1.04429,1.42863,0.85347,0.75106,0.83538,0.51517,1.03017,1.20962,1.12675,0.008911,0.008911,0.008911
13,2543.08,1.29884,1.01683,1.4088,0.86205,0.76907,0.85031,0.53547,1.01133,1.1576,1.09859,0.008812,0.008812,0.008812
14,3232.22,1.26315,0.96582,1.37795,0.84826,0.78266,0.85519,0.54109,0.9995,1.17302,1.09746,0.008713,0.008713,0.008713
15,3919.27,1.24068,0.93663,1.37402,0.86674,0.77732,0.85584,0.54469,0.98315,1.18585,1.09056,0.008614,0.008614,0.008614
16,4605.85,1.22599,0.92343,1.35892,0.86403,0.79361,0.86477,0.55487,0.96658,1.05812,1.07143,0.008515,0.008515,0.008515
17,5292.3,1.20347,0.89395,1.34023,0.85882,0.80392,0.8639,0.55997,0.96036,1.00176,1.07235,0.008416,0.008416,0.008416
18,5978.22,1.18121,0.8604,1.32467,0.88229,0.8029,0.86998,0.56759,0.95954,0.95272,1.08051,0.008317,0.008317,0.008317
19,6665.93,1.17359,0.85537,1.32271,0.86058,0.81908,0.87357,0.57407,0.94368,0.92544,1.06874,0.008218,0.008218,0.008218
20,7353.02,1.16282,0.83696,1.31258,0.87685,0.81274,0.87452,0.57943,0.92408,0.91445,1.05189,0.008119,0.008119,0.008119
21,8041.28,1.13436,0.81485,1.29712,0.87292,0.81866,0.87754,0.58302,0.92474,0.85525,1.05608,0.00802,0.00802,0.00802
22,8727.19,1.12379,0.79676,1.28809,0.88061,0.82118,0.87907,0.58686,0.90835,0.88307,1.03878,0.007921,0.007921,0.007921
23,9414.23,1.1114,0.77953,1.2722,0.88007,0.82444,0.8843,0.58986,0.90022,0.87032,1.03315,0.007822,0.007822,0.007822
