epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,160.211,0.98849,0.66578,1.15283,0.87313,0.782,0.85668,0.55123,1.27675,0.75771,1.39323,0.000643795,0.000643795,0.000643795
33,349.794,0.96757,0.64337,1.14236,0.86624,0.77487,0.84903,0.55471,1.29045,0.76481,1.40482,0.000610789,0.000610789,0.000610789
34,525.717,0.96341,0.63237,1.13674,0.87733,0.76874,0.84495,0.54532,1.30145,0.76799,1.40428,0.000577782,0.000577782,0.000577782
35,674.597,0.95214,0.62365,1.12678,0.84287,0.8097,0.8503,0.5515,1.28374,0.74806,1.38572,0.000544776,0.000544776,0.000544776
36,828.203,0.93455,0.61565,1.11907,0.84059,0.7942,0.84831,0.54464,1.29358,0.74595,1.41312,0.000511769,0.000511769,0.000511769
37,979.64,0.92007,0.59126,1.10916,0.8712,0.78383,0.84545,0.54516,1.28574,0.75423,1.40442,0.000478762,0.000478762,0.000478762
38,1130.48,0.90889,0.58979,1.10599,0.86776,0.7894,0.85373,0.54654,1.30342,0.73647,1.42079,0.000445756,0.000445756,0.000445756
39,1280.06,0.88848,0.57087,1.09423,0.85598,0.80286,0.84871,0.54553,1.29413,0.73016,1.42677,0.000412749,0.000412749,0.000412749
40,1429.62,0.87472,0.5584,1.08576,0.85842,0.80483,0.85387,0.55029,1.29111,0.72484,1.42644,0.000379743,0.000379743,0.000379743
41,1590.62,0.81472,0.45357,1.04614,0.86961,0.7922,0.84496,0.54966,1.28173,0.72179,1.41916,0.000346736,0.000346736,0.000346736
42,1736.54,0.78718,0.42855,1.02722,0.86356,0.7942,0.84567,0.54809,1.29027,0.72985,1.43691,0.000313729,0.000313729,0.000313729
43,1887.51,0.7631,0.41768,1.01663,0.86628,0.79722,0.84396,0.54763,1.29142,0.72318,1.45286,0.000280723,0.000280723,0.000280723
44,2034.65,0.74321,0.40528,1.00506,0.86661,0.79723,0.84443,0.55043,1.29341,0.73248,1.455,0.000247716,0.000247716,0.000247716
45,2180.97,0.72206,0.39172,0.99417,0.87254,0.79631,0.84456,0.5516,1.29501,0.72717,1.46336,0.00021471,0.00021471,0.00021471
46,2327.34,0.70865,0.38208,0.98646,0.87461,0.79896,0.84591,0.55167,1.29211,0.72947,1.46406,0.000181703,0.000181703,0.000181703
47,2474.11,0.69203,0.37207,0.97789,0.8746,0.79033,0.83665,0.54825,1.29709,0.72673,1.47953,0.000148696,0.000148696,0.000148696
48,2620.71,0.68257,0.366,0.97344,0.8712,0.78432,0.84009,0.54785,1.29939,0.73477,1.48258,0.00011569,0.00011569,0.00011569
49,2766.66,0.67319,0.3575,0.96844,0.86476,0.79365,0.842,0.54746,1.29465,0.73982,1.47822,8.26832e-05,8.26832e-05,8.26832e-05
50,2912.94,0.66031,0.35197,0.96219,0.87195,0.79318,0.83863,0.54756,1.29412,0.73722,1.48143,4.96766e-05,4.96766e-05,4.96766e-05
