epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.872,1.71525,2.12163,1.68283,0.50458,0.47602,0.44674,0.18973,1.96028,2.06193,1.90234,0.000554935,0.000554935,0.000554935
2,338.211,1.70833,1.82818,1.67257,0.66533,0.51294,0.56016,0.28038,1.77756,1.77758,1.74052,0.00108861,0.00108861,0.00108861
3,507.425,1.67352,1.75301,1.64347,0.66921,0.46807,0.53189,0.27199,1.68744,1.84342,1.6915,0.00160028,0.00160028,0.00160028
4,675.736,1.60502,1.5984,1.59022,0.73461,0.57546,0.67572,0.35934,1.60885,1.45944,1.61881,0.00156798,0.00156798,0.00156798
5,844.258,1.56361,1.51078,1.55961,0.71634,0.63286,0.71533,0.39111,1.54575,1.37579,1.55974,0.00153497,0.00153497,0.00153497
6,1011.83,1.50184,1.38089,1.50846,0.76655,0.68747,0.74806,0.41451,1.53132,1.19905,1.52925,0.00150197,0.00150197,0.00150197
7,1179.18,1.48117,1.32894,1.49256,0.78856,0.66235,0.7554,0.42594,1.53131,1.21074,1.53416,0.00146896,0.00146896,0.00146896
8,1346.51,1.43767,1.25083,1.46005,0.80649,0.67377,0.77401,0.4422,1.48171,1.12341,1.50984,0.00143595,0.00143595,0.00143595
9,1514.85,1.40407,1.19126,1.43788,0.78537,0.67518,0.76281,0.43615,1.47184,1.1467,1.50984,0.00140295,0.00140295,0.00140295
10,1681.29,1.38416,1.16353,1.42027,0.82734,0.70346,0.80394,0.47324,1.42951,1.03958,1.44393,0.00136994,0.00136994,0.00136994
11,1847.6,1.35559,1.12599,1.3988,0.80758,0.71714,0.79552,0.46623,1.4543,1.05993,1.48034,0.00133693,0.00133693,0.00133693
12,2011.71,1.33631,1.08925,1.38064,0.84062,0.70716,0.81368,0.48032,1.43105,1.02107,1.46093,0.00130393,0.00130393,0.00130393
13,2229.97,1.32092,1.06106,1.37644,0.80736,0.74131,0.81808,0.4988,1.38097,0.99365,1.42396,0.00127092,0.00127092,0.00127092
14,2394.79,1.2914,1.02696,1.35695,0.82465,0.74885,0.8229,0.49321,1.38807,0.95799,1.44225,0.00123791,0.00123791,0.00123791
15,2558.53,1.27714,0.99347,1.34239,0.84987,0.72686,0.81929,0.495,1.41232,0.9434,1.44088,0.00120491,0.00120491,0.00120491
16,2724.69,1.2471,0.95491,1.31705,0.84675,0.73553,0.82524,0.5002,1.388,0.92187,1.4264,0.0011719,0.0011719,0.0011719
17,2890.44,1.2309,0.93455,1.31269,0.85615,0.77062,0.82737,0.5162,1.35782,0.89556,1.41044,0.00113889,0.00113889,0.00113889
18,3056.65,1.21373,0.90865,1.29767,0.83212,0.79551,0.8406,0.52154,1.34702,0.88034,1.4013,0.00110589,0.00110589,0.00110589
19,3219.55,1.19836,0.89287,1.29068,0.86271,0.76814,0.84918,0.52684,1.33488,0.86133,1.4033,0.00107288,0.00107288,0.00107288
20,3382.05,1.18029,0.86768,1.2789,0.87475,0.75855,0.83309,0.51207,1.36821,0.8604,1.44038,0.00103987,0.00103987,0.00103987
21,3546.99,1.17048,0.85646,1.27177,0.86403,0.77239,0.84568,0.52995,1.32824,0.84518,1.39814,0.00100687,0.00100687,0.00100687
22,3712.64,1.152,0.82512,1.25762,0.86552,0.78112,0.85327,0.52829,1.3217,0.84156,1.39639,0.000973861,0.000973861,0.000973861
23,3877.02,1.13251,0.79815,1.24135,0.84045,0.77828,0.84417,0.52471,1.3689,0.82844,1.435,0.000940855,0.000940855,0.000940855
24,4040,1.11594,0.78289,1.23258,0.8423,0.80426,0.85594,0.53496,1.33902,0.80153,1.40477,0.000907848,0.000907848,0.000907848
25,4205.55,1.10524,0.76712,1.22303,0.83275,0.81024,0.85152,0.53581,1.31473,0.80294,1.38703,0.000874842,0.000874842,0.000874842
26,4369.99,1.09509,0.75503,1.2172,0.84607,0.79193,0.85459,0.53226,1.33121,0.80289,1.39924,0.000841835,0.000841835,0.000841835
27,4533.7,1.07244,0.73732,1.2025,0.85062,0.77397,0.83895,0.52986,1.31566,0.80097,1.40302,0.000808828,0.000808828,0.000808828
28,4699.58,1.05208,0.71759,1.1895,0.87555,0.78699,0.85643,0.54455,1.30602,0.77854,1.4074,0.000775822,0.000775822,0.000775822
29,4864.1,1.03644,0.69937,1.17969,0.85442,0.79252,0.85532,0.5458,1.30055,0.76817,1.39618,0.000742815,0.000742815,0.000742815
30,5028.84,1.02193,0.68599,1.17055,0.85933,0.80575,0.86133,0.54633,1.30646,0.76071,1.40117,0.000709809,0.000709809,0.000709809
31,5457.44,1.00405,0.67487,1.15911,0.86762,0.78998,0.85455,0.54857,1.3126,0.74994,1.42232,0.000676802,0.000676802,0.000676802
